Наименование,Признаки,ИНН,Адрес,Сайт,Дата добавления
Ломбард/комиссионный магазин Победа,Признаки нелегального кредитора,,"350080, Краснодарский край, г. Краснодар, ул. Тюляева, д. 37;295022, Республика Крым, г. Симферополь, пр-т Победы, д. 226/Ю;295011, г. Симферополь, пр-т Кирова, д. 18/Самошкина, д. 3А;295051, г. Симферополь, бульвар Ленина, д. 22/2",победа-63.рф,01.02.2021
"AXE TRADING LIMITED, Bit Exchange, BitXC",Признаки нелегального профессионального участника рынка ценных бумаг,,,bitxc.com,01.02.2021
"uTrader, Day Dream Investments Ltd",Признаки нелегального профессионального участника рынка ценных бумаг,,,"ru.utrader.com, utrader.com",01.02.2021
"Trade 5000, International payments 5000 Ltd",Признаки нелегального профессионального участника рынка ценных бумаг,,,trade5000.com,01.06.2021
"Market Solutions Ltd, Umarkets",Признаки нелегального профессионального участника рынка ценных бумаг,,,"umarkets.com, umarkets.ai, umarkets.co, umarkets.org",01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИРКЛИЗИНГ""",Признаки нелегального кредитора,3808189176,"664007, Иркутская обл., г. Иркутск, ул. Горная, д.4 офис 303-1",,01.02.2021
PaxForex,Признаки нелегального профессионального участника рынка ценных бумаг,,,"paxforex.com, ru.paxforex.com",01.02.2021
"Magnum Maxx Ltd, Rumex International, Imperial Global Markets, IMPERIAL GM, IGM, Imperial International LTD",Признаки нелегального профессионального участника рынка ценных бумаг,,,imperialgm.com,01.02.2021
"WELTRADE, Systemgates Ltd",Признаки нелегального профессионального участника рынка ценных бумаг,,,weltrade.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОПЕРТИ ИНВЕСТ""",Признаки нелегального кредитора,7726400788,"117405, г. Москва, шоссе Варшавское, д. 152, корп. 3, кв. 97",zaim-credit-pod-zalog.ru,01.02.2021
"Ломбард ""СКУПКА ТОВАРОВ ОДИССЕЙ""",Признаки нелегального кредитора,,"403732, Волгоградская область, с. Елань, ул. Красная, 24;403958, Волгоградская область, г. Новоаннинский, ул. Советская, 90А",,01.06.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАРС-15""",Признаки нелегального кредитора,1513052239,"362027, Республика Северная Осетия – Алания, г. Владикавказ, ул. Кирова, д. 56-58",bars-15.ru,01.02.2021
"Dealfin Investments Limited, Dominion FX",Признаки нелегального профессионального участника рынка ценных бумаг,,,"dominionfx.com, dominionfx.ru",01.06.2021
"IFCM Cyprus Limited (IFCM Group, IFC Markets)",Признаки нелегального профессионального участника рынка ценных бумаг,,"Marinou Geroulanou 6, 4154 Kato Polemedia, Cyprus","ifcmarkets.ru, ifcmarkets.com",01.02.2021
"IFCMARKETS. CORP (IFCM Group, IFC Markets)",Признаки нелегального профессионального участника рынка ценных бумаг,,"P.O. BOX 3159 QUIJANO CHAMBERS VG1110 ROAD TOWN, VIRGIN ISLANDS (BRITISH)","ifcmarkets.ru, ifcmarkets.com",01.02.2021
HAMILTON INVESTMENTS GROUP LIMITED,Признаки нелегального профессионального участника рынка ценных бумаг,,"First Floor, First St. Vincent Bank Building, James Street, Kingstown, St. Vincent and the Grenadines, VC01000, P.O/ Box 1574",hamilton.club,01.02.2021
RoboForex Ltd (RGF Holding),Признаки нелегального профессионального участника рынка ценных бумаг,,"2118 Guava Street, Belama Phase 1, Belize City, Belize","roboforex.com, robomarkets.com, rbfx.com, trader21.ru, rtrader.umstel.com, roboforex.org",01.02.2021
RoboMarkets Ltd (RGF Holding),Признаки нелегального профессионального участника рынка ценных бумаг,,"Modestou Panteli, 4, In The Neighbourhood, 4003, Limassol, Cyprus","roboforex.com, robomarkets.com, rbfx.com, trader21.ru, rtrader.umstel.com, roboforex.org",01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЛК""",Признаки финансовой пирамиды,7801452795,"197022, г. Санкт-Петербург, ул. Инструментальная, д. 3, лит. Б, часть пом. 1Н (комн. 403)",mlk.finance,01.06.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МНОГОФУНКЦИОНАЛЬНАЯ КОМПАНИЯ ""МОСКВА СИТИ"" (СОЦЗАЙМ)",Признаки нелегального кредитора,3015109790,"414000, Астраханская обл., г. Астрахань, ул. Свердлова / ул. М. Аладьина, д. 58/2",astradengi.ru,01.02.2021
"ООО ""КАЛИТА-ФИНАНСЕ"" (KALITA-FINANCE, s.r.o. )",Признаки финансовой пирамиды,,"Tatarkova 728/12, Haje, 149 00 Prague, Czech Republic",kalita-finance.ru,01.02.2021
INCOME EXPERT LTD,Признаки финансовой пирамиды,,"52-60 Tabernacle Street, London, United Kingdom, EC2A 4NJ",inex.london,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНКАМ ЭКСПЕРТ""",Признаки финансовой пирамиды,7704430154,"119121, г. Москва, ул. Погодинская, д. 4, пом. 16Н, комн. 4",inex.london,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛРОСТ""",Признаки нелегального кредитора,2465120946,"660135, Красноярский край, г. Красноярск, ул. Молокова, д. 37А, пом. 85",kapital-rost.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""РЕСУРСФИНАНС""",Признаки нелегального кредитора,3015106559,"414000, Астраханская обл., г. Астрахань, ул. Бабушкина, д. 60, каб. 14",rF30.ru,01.02.2021
